uke_start,horisont,faktisk,xgb_pred,lgbm_pred,ensemble_pred
2025-12-01,12,88.83,80.85449,82.82232926575426,81.83841072662713
2025-12-08,12,95.84,80.39048,80.29932539066881,80.34490271608635
2025-12-15,12,88.71,91.0297,96.43029881357313,93.73000002324164
2025-12-22,12,103.59,105.4989,108.37326166223838,106.93608151471294
2025-12-29,12,100.4,104.89115,107.48227396848822,106.18671269835544
2026-01-05,12,92.33,104.177635,107.1377437270427,105.6576894599569
2026-01-12,12,83.65,102.290474,106.99315110383249,104.64181252091038
2026-01-19,12,83.09,104.89196,111.69673321276258,108.29434667840277
2026-01-26,12,81.29,109.66445,115.24193498721161,112.45319329316635
2026-02-02,12,92.86,105.06891,113.40590187441938,109.23740528291282
2026-02-09,12,93.6,107.7026,114.5853613370499,111.14397995441362
2026-02-16,12,84.89,109.217896,114.33810849762743,111.77800200271997
2026-02-23,12,81.34,104.565475,112.57934727894587,108.57241137140653
2026-03-02,12,88.03,107.37202,113.17603935629799,110.27402813151814
2026-03-09,12,94.98,107.68687,115.23950462734487,111.46318569379939
